Source_Name	KNeighborsClassifier	LinearSVM	RBFSVM	GaussianProcessClassifier	DecisionTreeClassifier	RandomForestClassifier	NeuralNet	AdaBoost	NaiveBayes	QDA	90upmodel	top3model
FL8Y J1612.0+1407 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1613.0-5101 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1613.2-5140 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1615.3-5137 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1616.1-5006 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1616.6-5340 	YNG	MSP	YNG	YNG	YNG	MSP	YNG	YNG	MSP	YNG	YNG	YNG
FL8Y J1618.0-5033 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1619.5-5105 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1619.5-5015 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1619.9-5046 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1620.7-4957 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1620.9-5035 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1622.6-4935 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1622.8-5107 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1624.3-4941 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1624.4-3953 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1624.9-4541 	MSP	YNG	MSP	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1625.1-0020 	MSP	MSP	MSP	MSP	YNG	YNG	MSP	MSP	MSP	MSP	YNG	MSP
FL8Y J1626.0-4917 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1627.0-4248 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP
FL8Y J1627.7+3219 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1628.1-4920 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1628.5-4848 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1628.7-4822 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1630.1-1049 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1630.4-4837 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1633.8-4756 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1634.0-4743 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1636.0-4708 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1637.1-4705 	YNG	YNG	MSP	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1638.2-4715 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1638.5-4654 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1639.3-5146 	MSP	YNG	YNG	YNG	YNG	MSP	YNG	YNG	MSP	MSP	YNG	MSP
FL8Y J1641.3-5317 	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP	MSP	MSP	YNG	MSP
FL8Y J1643.4-3149 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1646.5-4405 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1646.6-2153 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	YNG	YNG	MSP
FL8Y J1649.3-4442 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1649.7-3011 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1650.4-4421 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1651.2-4441 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1651.6-4524 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1651.7-4400 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1653.1-4349 	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG	YNG
FL8Y J1653.5-0158 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
FL8Y J1656.6-2733 	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP	MSP
